lineage,old_label,new_label,N
B,cB1 (B IGD+IgM+),B,2380
B,cB2 (B GC-like),Bgc-GPR183,2046
B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,1616
B,cB2 (B GC-like),Bgc,1618
B,cB3 (B CD40+ GC-like),Bgc-CD40,1825
Myeloid,cM02 (Macrophage-like),Myeloid-Macro-C1Q,2255
Myeloid,cM09 (mregDC),Myeloid-DCmreg,1136
Myeloid,cM01 (Monocyte),Myeloid-Mono-S100-VCAN,1852
Myeloid,cM02 (Macrophage-like),Myeloid-ISGlow,2819
Myeloid,cM01 (Monocyte),Myeloid-Mono-CSF1R,1283
Myeloid,cM04 (DC2),Myeloid-DC2,565
Myeloid,cM02 (Macrophage-like),Myeloid-Macro,2303
Myeloid,cM01 (Monocyte),Myeloid-Mono-VEGFA,2175
Myeloid,cM02 (Macrophage-like),Myeloid-Macro-MMP9-APOE,2494
Myeloid,cM05 (DC2 C1Q+),Myeloid-DC2-C1Q,502
Myeloid,cM02 (Macrophage-like),Myeloid-Macro-prolif,327
Myeloid,cM02 (Macrophage-like),Myeloid-Macro-SEPP1-LYVE1,2603
Myeloid,cM10 (Granulocyte),Myeloid-Granulo,1661
Myeloid,cM01 (Monocyte),Myeloid-ISGhigh,1016
Myeloid,cM07 (pDC),Myeloid-DC-pDC_ASDC,709
Myeloid,cM01 (Monocyte),Myeloid-inflamm,2429
Myeloid,cM08 (AS-DC),Myeloid-DC-pDC_ASDC,48
Myeloid,cM03 (DC1),Myeloid-DC1,179
Strom,cS32 (Smooth Muscle),SmoothMuscle,377
Strom,cS06 (Endo lymphatic),Endo-lymph,151
Strom,cS05 (Endo venous),Endo-ven,453
Strom,cS21 (Fibro stem cell niche),Fibro-StemNiche,228
Strom,cS25 (Fibro CCL8+),Fibro-CCL2,324
Strom,cS01 (Endo arterial),Endo-art,256
Strom,cS22 (Fibro stem cell niche),Fibro-StemNiche,250
Strom,cS02 (Endo capillary),Endo-cap,480
Strom,cS23 (Fibro BMP-producing),Fibro-BMP,159
Strom,cS03 (Endo capillary),Endo-cap,296
Strom,cS24 (Fibro BMP-producing),Fibro-BMP,261
Strom,cS33 (Schwann),Schwann,133
Strom,cS15 (Pericyte),Pericyte,147
