lineage,old_label,new_label,N
B,cB1 (B IGD+IgM+),B,387
B,cB3 (B CD40+ GC-like),Bgc-CD40-prolif,141
B,cB2 (B GC-like),Bgc-GPR183,140
B,cB2 (B GC-like),Bgc,161
B,cB3 (B CD40+ GC-like),Bgc-CD40,180
Myeloid,cM02 (Macrophage-like),Myeloid-Macro-MMP9-APOE,177
Myeloid,cM01 (Monocyte),Myeloid-ISGhigh,154
Myeloid,cM02 (Macrophage-like),Myeloid-Macro-C1Q,177
Myeloid,cM09 (mregDC),Myeloid-DCmreg,100
Myeloid,cM01 (Monocyte),Myeloid-Mono-S100-VCAN,146
Myeloid,cM01 (Monocyte),Myeloid-inflamm,224
Myeloid,cM02 (Macrophage-like),Myeloid-ISGlow,361
Myeloid,cM08 (AS-DC),Myeloid-DC-pDC_ASDC,8
Myeloid,cM02 (Macrophage-like),Myeloid-Macro,184
Myeloid,cM04 (DC2),Myeloid-DC2,37
Myeloid,cM10 (Granulocyte),Myeloid-Granulo,54
Myeloid,cM01 (Monocyte),Myeloid-Mono-CSF1R,116
Myeloid,cM02 (Macrophage-like),Myeloid-Macro-SEPP1-LYVE1,126
Myeloid,cM07 (pDC),Myeloid-DC-pDC_ASDC,169
Myeloid,cM01 (Monocyte),Myeloid-Mono-VEGFA,145
Myeloid,cM05 (DC2 C1Q+),Myeloid-DC2-C1Q,56
Myeloid,cM02 (Macrophage-like),Myeloid-Macro-prolif,22
Myeloid,cM03 (DC1),Myeloid-DC1,18
Strom,cS32 (Smooth Muscle),SmoothMuscle,27
Strom,cS06 (Endo lymphatic),Endo-lymph,8
Strom,cS05 (Endo venous),Endo-ven,16
Strom,cS21 (Fibro stem cell niche),Fibro-StemNiche,13
Strom,cS25 (Fibro CCL8+),Fibro-CCL2,2
Strom,cS01 (Endo arterial),Endo-art,13
Strom,cS22 (Fibro stem cell niche),Fibro-StemNiche,4
Strom,cS02 (Endo capillary),Endo-cap,6
Strom,cS23 (Fibro BMP-producing),Fibro-BMP,1
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd4-IL7R,308
TNKILC,cTNI10 (CD8+ IL7R+),Tcd4-Treg-prolif,3
TNKILC,cTNI10 (CD8+ IL7R+),Tcd8-HOBIT,138
TNKILC,cTNI17 (gd-like T),NK-CD16,21
TNKILC,cTNI23 (NK CD16A+),NK-CD16,129
TNKILC,cTNI17 (gd-like T),Tplzf-gdlike,39
TNKILC,cTNI10 (CD8+ IL7R+),Tcd8-CXCL13,20
TNKILC,cTNI06 (CD4+ TFH),Tcd4-TFH,15
TNKILC,cTNI10 (CD8+ IL7R+),Tcd4-CXCL13,27
TNKILC,cTNI17 (gd-like T),Tcd8-HOBIT,16
TNKILC,cTNI17 (gd-like T),Tcd8-gdlike,55
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd4-IL7R,340
TNKILC,cTNI17 (gd-like T),Tcd8-CXCL13-LAG3,8
TNKILC,cTNI11 (CD8+GZMK+),Tcd8-GZMK,282
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd4-TFH,20
TNKILC,cTNI21 (PLZF+ T prolif),Tcd8-CXCL13-prolif,33
TNKILC,cTNI24 (NK GZMK+),NK-CD16,68
TNKILC,cTNI20 (PLZF+ T),Tplzf-gdlike,276
TNKILC,cTNI17 (gd-like T),Tcd8-GZMK,6
TNKILC,cTNI17 (gd-like T),Tcd4-CXCL13,8
TNKILC,cTNI22 (cTNI22),NK-CD16,34
TNKILC,cTNI20 (PLZF+ T),Tplzf-gdlike-prolif,29
TNKILC,cTNI08 (CD4+ Treg),Tcd4-Treg,688
TNKILC,cTNI06 (CD4+ TFH),Tcd4-CXCL13,17
TNKILC,cTNI06 (CD4+ TFH),Tcd4-Treg,25
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tcd8-GZMK,9
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd4-CXCL13,12
TNKILC,cTNI17 (gd-like T),Tcd8-CXCL13,2
TNKILC,cTNI10 (CD8+ IL7R+),Tcd4-Treg,2
TNKILC,cTNI17 (gd-like T),Tcd8-CXCL13-prolif,1
TNKILC,cTNI06 (CD4+ TFH),Tcd4-IL7R,13
TNKILC,cTNI26 (ILC3),ILC3,27
TNKILC,cTNI20 (PLZF+ T),NK-CD16,51
TNKILC,cTNI10 (CD8+ IL7R+),Tcd4-TFH,2
TNKILC,cTNI17 (gd-like T),Tcd4-Treg,1
TNKILC,cTNI24 (NK GZMK+),NK-XCL1,22
TNKILC,cTNI10 (CD8+ IL7R+),ILC3,8
TNKILC,cTNI25 (NK XCL1+),NK-XCL1,38
TNKILC,cTNI01 (CD4+ IL7R+),Tcd4-IL7R,22
TNKILC,cTNI17 (gd-like T),Tcd4-IL7R,2
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tplzf-gdlike,39
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd4-IL7R,94
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd4-CXCL13,156
TNKILC,cTNI10 (CD8+ IL7R+),Tcd4-IL7R,17
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd8-CXCL13,44
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd8-CXCL13,186
TNKILC,cTNI08 (CD4+ Treg),Tcd4-TFH,78
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd4-CXCL13,260
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd4-Treg,3
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd4-Treg-prolif,47
TNKILC,cTNI11 (CD8+GZMK+),Tcd4-CXCL13,18
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-gdlike,48
TNKILC,cTNI03 (CD4+ IL7R+HSP+),ILC3,7
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd4-Treg,36
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd8-HOBIT,89
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-CXCL13-LAG3,148
TNKILC,cTNI22 (cTNI22),Tcd8-GZMK,9
TNKILC,cTNI25 (NK XCL1+),NK-CD16,19
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd8-CXCL13-prolif,240
TNKILC,cTNI22 (cTNI22),ILC3,6
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tplzf-gdlike-prolif,12
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd4-Treg-prolif,110
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-CXCL13,245
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd4-TFH,2
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-GZMK,208
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd8-CXCL13-LAG3,66
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd4-CXCL13,299
TNKILC,cTNI11 (CD8+GZMK+),Tcd4-IL7R,31
