old_label,lineage,new_label,N,dest,row_total,pct
cM01 (Monocyte),Myeloid,Myeloid-ISGhigh,1016,Myeloid-inflamm,8755,11.6
cM02 (Macrophage-like),Myeloid,Myeloid-Macro-C1Q,2255,Myeloid-ISGlow,12801,17.6
cM02 (Macrophage-like),Myeloid,Myeloid-ISGlow,2819,Myeloid-ISGlow,12801,22
cM02 (Macrophage-like),Myeloid,Myeloid-Macro,2303,Myeloid-ISGlow,12801,18
cM02 (Macrophage-like),Myeloid,Myeloid-Macro-MMP9-APOE,2494,Myeloid-ISGlow,12801,19.5
cM02 (Macrophage-like),Myeloid,Myeloid-Macro-prolif,327,Myeloid-ISGlow,12801,2.6
cM02 (Macrophage-like),Myeloid,Myeloid-Macro-SEPP1-LYVE1,2603,Myeloid-ISGlow,12801,20.3
cM09 (mregDC),Myeloid,Myeloid-DCmreg,1136,Myeloid-DCmreg,1136,100
cTNI01 (CD4+ IL7R+),TNKILC,Tcd8-CXCL13,7,Tcd4-IL7R,1000,0.7
cTNI01 (CD4+ IL7R+),TNKILC,Tcd8-GZMK,16,Tcd4-IL7R,1000,1.6
cTNI01 (CD4+ IL7R+),TNKILC,Tcd8-CXCL13-prolif,1,Tcd4-IL7R,1000,0.1
cTNI02 (CD4+ IL7R+SELL+),TNKILC,Tcd8-GZMK,25,Tcd4-IL7R,2704,0.9
cTNI02 (CD4+ IL7R+SELL+),TNKILC,Tcd8-CXCL13,2,Tcd4-IL7R,2704,0.1
cTNI03 (CD4+ IL7R+HSP+),TNKILC,Tcd8-GZMK,28,Tcd4-IL7R,1438,1.9
cTNI03 (CD4+ IL7R+HSP+),TNKILC,Tcd8-CXCL13,28,Tcd4-IL7R,1438,1.9
cTNI03 (CD4+ IL7R+HSP+),TNKILC,Tcd8-CXCL13-LAG3,2,Tcd4-IL7R,1438,0.1
cTNI04 (CD4+ IL7R+CCL5+),TNKILC,Tcd8-GZMK,89,Tcd4-IL7R,4757,1.9
cTNI04 (CD4+ IL7R+CCL5+),TNKILC,Tcd8-CXCL13-LAG3,3,Tcd4-IL7R,4757,0.1
cTNI04 (CD4+ IL7R+CCL5+),TNKILC,Tcd8-CXCL13,6,Tcd4-IL7R,4757,0.1
cTNI04 (CD4+ IL7R+CCL5+),TNKILC,Tcd8-CXCL13-prolif,2,Tcd4-IL7R,4757,0
cTNI06 (CD4+ TFH),TNKILC,Tcd8-GZMK,6,Tcd4-TFH,891,0.7
cTNI06 (CD4+ TFH),TNKILC,Tcd8-CXCL13-prolif,2,Tcd4-TFH,891,0.2
cTNI06 (CD4+ TFH),TNKILC,Tcd8-CXCL13,4,Tcd4-TFH,891,0.4
cTNI07 (CD4+ CXCL13+),TNKILC,Tcd8-GZMK,34,Tcd4-CXCL13,1690,2
cTNI07 (CD4+ CXCL13+),TNKILC,Tcd8-CXCL13,21,Tcd4-CXCL13,1690,1.2
cTNI07 (CD4+ CXCL13+),TNKILC,Tcd8-CXCL13-LAG3,18,Tcd4-CXCL13,1690,1.1
cTNI07 (CD4+ CXCL13+),TNKILC,Tcd8-CXCL13-prolif,3,Tcd4-CXCL13,1690,0.2
cTNI08 (CD4+ Treg),TNKILC,Tcd8-CXCL13,12,Tcd4-Treg,7898,0.2
cTNI08 (CD4+ Treg),TNKILC,Tcd8-GZMK,44,Tcd4-Treg,7898,0.6
cTNI08 (CD4+ Treg),TNKILC,Tcd8-CXCL13-LAG3,3,Tcd4-Treg,7898,0
cTNI08 (CD4+ Treg),TNKILC,Tcd8-CXCL13-prolif,3,Tcd4-Treg,7898,0
cTNI09 (CD4+ Treg prolif),TNKILC,Tcd8-CXCL13-prolif,290,Tcd4-Treg-prolif,1500,19.3
cTNI09 (CD4+ Treg prolif),TNKILC,Tcd8-GZMK,4,Tcd4-Treg-prolif,1500,0.3
cTNI09 (CD4+ Treg prolif),TNKILC,Tcd8-CXCL13,8,Tcd4-Treg-prolif,1500,0.5
cTNI09 (CD4+ Treg prolif),TNKILC,Tcd8-CXCL13-LAG3,5,Tcd4-Treg-prolif,1500,0.3
cTNI10 (CD8+ IL7R+),TNKILC,Tcd8-CXCL13,227,Tcd8-HOBIT,2426,9.4
cTNI10 (CD8+ IL7R+),TNKILC,Tcd8-CXCL13-LAG3,98,Tcd8-HOBIT,2426,4
cTNI10 (CD8+ IL7R+),TNKILC,Tcd8-GZMK,130,Tcd8-HOBIT,2426,5.4
cTNI10 (CD8+ IL7R+),TNKILC,Tcd8-CXCL13-prolif,8,Tcd8-HOBIT,2426,0.3
cTNI11 (CD8+GZMK+),TNKILC,Tcd8-GZMK,2631,Tcd8-GZMK,3826,68.8
cTNI11 (CD8+GZMK+),TNKILC,NK-CD16,161,Tcd8-GZMK,3826,4.2
cTNI11 (CD8+GZMK+),TNKILC,Tcd4-CXCL13,137,Tcd8-GZMK,3826,3.6
cTNI11 (CD8+GZMK+),TNKILC,Tcd8-HOBIT,311,Tcd8-GZMK,3826,8.1
cTNI11 (CD8+GZMK+),TNKILC,Tcd8-CXCL13,179,Tcd8-GZMK,3826,4.7
cTNI11 (CD8+GZMK+),TNKILC,Tcd8-CXCL13-LAG3,53,Tcd8-GZMK,3826,1.4
cTNI11 (CD8+GZMK+),TNKILC,Tcd4-TFH,80,Tcd8-GZMK,3826,2.1
cTNI11 (CD8+GZMK+),TNKILC,Tcd4-IL7R,136,Tcd8-GZMK,3826,3.6
cTNI11 (CD8+GZMK+),TNKILC,ILC3,85,Tcd8-GZMK,3826,2.2
cTNI11 (CD8+GZMK+),TNKILC,Tcd4-Treg-prolif,6,Tcd8-GZMK,3826,0.2
cTNI11 (CD8+GZMK+),TNKILC,Tplzf-gdlike,14,Tcd8-GZMK,3826,0.4
cTNI11 (CD8+GZMK+),TNKILC,Tcd8-gdlike,11,Tcd8-GZMK,3826,0.3
cTNI11 (CD8+GZMK+),TNKILC,NK-XCL1,8,Tcd8-GZMK,3826,0.2
cTNI11 (CD8+GZMK+),TNKILC,Tcd4-Treg,5,Tcd8-GZMK,3826,0.1
cTNI11 (CD8+GZMK+),TNKILC,Tcd8-CXCL13-prolif,8,Tcd8-GZMK,3826,0.2
cTNI11 (CD8+GZMK+),TNKILC,Tplzf-gdlike-prolif,1,Tcd8-GZMK,3826,0
cTNI12 (CD8+ IL7R+),TNKILC,Tcd8-CXCL13-LAG3,38,Tcd8-HOBIT,569,6.7
cTNI12 (CD8+ IL7R+),TNKILC,Tcd8-GZMK,97,Tcd8-HOBIT,569,17
cTNI12 (CD8+ IL7R+),TNKILC,Tcd8-CXCL13,35,Tcd8-HOBIT,569,6.2
cTNI12 (CD8+ IL7R+),TNKILC,Tcd8-CXCL13-prolif,4,Tcd8-HOBIT,569,0.7
cTNI14 (CD8+ CXCL13+),TNKILC,Tcd8-GZMK,969,Tcd8-HOBIT,5907,16.4
cTNI14 (CD8+ CXCL13+),TNKILC,Tcd8-CXCL13,1037,Tcd8-HOBIT,5907,17.6
cTNI14 (CD8+ CXCL13+),TNKILC,Tcd8-CXCL13-LAG3,670,Tcd8-HOBIT,5907,11.3
cTNI14 (CD8+ CXCL13+),TNKILC,Tcd8-CXCL13-prolif,25,Tcd8-HOBIT,5907,0.4
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,Tcd4-CXCL13,747,Tcd8-CXCL13,3868,19.3
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,Tplzf-gdlike,248,Tcd8-CXCL13,3868,6.4
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,Tcd8-CXCL13,1041,Tcd8-CXCL13,3868,26.9
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,Tcd8-CXCL13-LAG3,254,Tcd8-CXCL13,3868,6.6
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,Tcd8-HOBIT,502,Tcd8-CXCL13,3868,13
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,NK-CD16,175,Tcd8-CXCL13,3868,4.5
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,Tcd8-GZMK,437,Tcd8-CXCL13,3868,11.3
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,Tcd8-gdlike,164,Tcd8-CXCL13,3868,4.2
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,Tcd4-Treg-prolif,43,Tcd8-CXCL13,3868,1.1
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,Tcd4-IL7R,87,Tcd8-CXCL13,3868,2.2
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,Tcd4-Treg,84,Tcd8-CXCL13,3868,2.2
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,Tplzf-gdlike-prolif,6,Tcd8-CXCL13,3868,0.2
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,ILC3,34,Tcd8-CXCL13,3868,0.9
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,Tcd4-TFH,34,Tcd8-CXCL13,3868,0.9
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,Tcd8-CXCL13-prolif,10,Tcd8-CXCL13,3868,0.3
cTNI15 (CD8+ CXCL13+ HSP+),TNKILC,NK-XCL1,2,Tcd8-CXCL13,3868,0.1
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,Tcd8-CXCL13-prolif,1291,Tcd8-CXCL13-prolif,2251,57.4
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,Tcd8-HOBIT,47,Tcd8-CXCL13-prolif,2251,2.1
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,ILC3,6,Tcd8-CXCL13-prolif,2251,0.3
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,Tcd4-CXCL13,128,Tcd8-CXCL13-prolif,2251,5.7
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,Tcd8-CXCL13-LAG3,74,Tcd8-CXCL13-prolif,2251,3.3
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,Tcd8-GZMK,72,Tcd8-CXCL13-prolif,2251,3.2
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,Tcd4-Treg-prolif,304,Tcd8-CXCL13-prolif,2251,13.5
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,Tcd8-CXCL13,189,Tcd8-CXCL13-prolif,2251,8.4
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,Tplzf-gdlike-prolif,88,Tcd8-CXCL13-prolif,2251,3.9
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,Tcd8-gdlike,14,Tcd8-CXCL13-prolif,2251,0.6
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,NK-CD16,16,Tcd8-CXCL13-prolif,2251,0.7
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,Tcd4-Treg,7,Tcd8-CXCL13-prolif,2251,0.3
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,Tcd4-TFH,6,Tcd8-CXCL13-prolif,2251,0.3
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,Tplzf-gdlike,7,Tcd8-CXCL13-prolif,2251,0.3
cTNI16 (CD8+ CXCL13+ prolif),TNKILC,Tcd4-IL7R,2,Tcd8-CXCL13-prolif,2251,0.1
cTNI17 (gd-like T),TNKILC,Tcd8-CXCL13,192,Tcd8-gdlike,4680,4.1
cTNI17 (gd-like T),TNKILC,Tcd8-CXCL13-LAG3,384,Tcd8-gdlike,4680,8.2
cTNI17 (gd-like T),TNKILC,Tcd8-GZMK,153,Tcd8-gdlike,4680,3.3
cTNI17 (gd-like T),TNKILC,Tcd8-CXCL13-prolif,25,Tcd8-gdlike,4680,0.5
cTNI18 (gd-like T PDCD1+),TNKILC,NK-CD16,551,Tcd8-CXCL13-LAG3,3105,17.7
cTNI18 (gd-like T PDCD1+),TNKILC,Tcd8-gdlike,583,Tcd8-CXCL13-LAG3,3105,18.8
cTNI18 (gd-like T PDCD1+),TNKILC,Tcd4-CXCL13,283,Tcd8-CXCL13-LAG3,3105,9.1
cTNI18 (gd-like T PDCD1+),TNKILC,Tcd8-CXCL13-LAG3,618,Tcd8-CXCL13-LAG3,3105,19.9
cTNI18 (gd-like T PDCD1+),TNKILC,Tcd8-CXCL13,244,Tcd8-CXCL13-LAG3,3105,7.9
cTNI18 (gd-like T PDCD1+),TNKILC,Tcd8-HOBIT,444,Tcd8-CXCL13-LAG3,3105,14.3
cTNI18 (gd-like T PDCD1+),TNKILC,Tcd8-GZMK,147,Tcd8-CXCL13-LAG3,3105,4.7
cTNI18 (gd-like T PDCD1+),TNKILC,NK-XCL1,4,Tcd8-CXCL13-LAG3,3105,0.1
cTNI18 (gd-like T PDCD1+),TNKILC,Tplzf-gdlike,146,Tcd8-CXCL13-LAG3,3105,4.7
cTNI18 (gd-like T PDCD1+),TNKILC,Tcd4-Treg-prolif,13,Tcd8-CXCL13-LAG3,3105,0.4
cTNI18 (gd-like T PDCD1+),TNKILC,Tcd4-TFH,22,Tcd8-CXCL13-LAG3,3105,0.7
cTNI18 (gd-like T PDCD1+),TNKILC,Tplzf-gdlike-prolif,4,Tcd8-CXCL13-LAG3,3105,0.1
cTNI18 (gd-like T PDCD1+),TNKILC,Tcd8-CXCL13-prolif,14,Tcd8-CXCL13-LAG3,3105,0.5
cTNI18 (gd-like T PDCD1+),TNKILC,Tcd4-Treg,16,Tcd8-CXCL13-LAG3,3105,0.5
cTNI18 (gd-like T PDCD1+),TNKILC,ILC3,10,Tcd8-CXCL13-LAG3,3105,0.3
cTNI18 (gd-like T PDCD1+),TNKILC,Tcd4-IL7R,6,Tcd8-CXCL13-LAG3,3105,0.2
cTNI19 (gd-like T prolif),TNKILC,Tcd8-CXCL13-prolif,109,Tcd8-CXCL13-prolif,368,29.6
cTNI19 (gd-like T prolif),TNKILC,Tcd4-Treg-prolif,14,Tcd8-CXCL13-prolif,368,3.8
cTNI19 (gd-like T prolif),TNKILC,Tcd8-HOBIT,16,Tcd8-CXCL13-prolif,368,4.3
cTNI19 (gd-like T prolif),TNKILC,Tcd8-gdlike,21,Tcd8-CXCL13-prolif,368,5.7
cTNI19 (gd-like T prolif),TNKILC,Tcd8-CXCL13-LAG3,78,Tcd8-CXCL13-prolif,368,21.2
cTNI19 (gd-like T prolif),TNKILC,Tplzf-gdlike-prolif,36,Tcd8-CXCL13-prolif,368,9.8
cTNI19 (gd-like T prolif),TNKILC,Tcd8-CXCL13,25,Tcd8-CXCL13-prolif,368,6.8
cTNI19 (gd-like T prolif),TNKILC,NK-CD16,22,Tcd8-CXCL13-prolif,368,6
cTNI19 (gd-like T prolif),TNKILC,Tcd4-CXCL13,19,Tcd8-CXCL13-prolif,368,5.2
cTNI19 (gd-like T prolif),TNKILC,Tcd4-Treg,1,Tcd8-CXCL13-prolif,368,0.3
cTNI19 (gd-like T prolif),TNKILC,Tplzf-gdlike,18,Tcd8-CXCL13-prolif,368,4.9
cTNI19 (gd-like T prolif),TNKILC,Tcd8-GZMK,5,Tcd8-CXCL13-prolif,368,1.4
cTNI19 (gd-like T prolif),TNKILC,ILC3,4,Tcd8-CXCL13-prolif,368,1.1
cTNI20 (PLZF+ T),TNKILC,Tcd8-CXCL13-prolif,16,Tplzf-gdlike,3886,0.4
cTNI20 (PLZF+ T),TNKILC,Tcd8-CXCL13,16,Tplzf-gdlike,3886,0.4
cTNI20 (PLZF+ T),TNKILC,Tcd8-CXCL13-LAG3,38,Tplzf-gdlike,3886,1
cTNI20 (PLZF+ T),TNKILC,Tcd8-GZMK,32,Tplzf-gdlike,3886,0.8
cTNI21 (PLZF+ T prolif),TNKILC,Tcd8-CXCL13-prolif,161,Tplzf-gdlike-prolif,666,24.2
cTNI21 (PLZF+ T prolif),TNKILC,Tcd8-GZMK,1,Tplzf-gdlike-prolif,666,0.2
cTNI22 (cTNI22),TNKILC,Tcd8-CXCL13-LAG3,11,NK-CD16,712,1.5
cTNI22 (cTNI22),TNKILC,Tcd8-GZMK,112,NK-CD16,712,15.7
cTNI22 (cTNI22),TNKILC,Tcd8-CXCL13,15,NK-CD16,712,2.1
cTNI23 (NK CD16A+),TNKILC,Tcd8-CXCL13-LAG3,2,NK-CD16,1174,0.2
cTNI23 (NK CD16A+),TNKILC,Tcd8-GZMK,1,NK-CD16,1174,0.1
cTNI24 (NK GZMK+),TNKILC,Tcd8-GZMK,11,NK-CD16,1138,1
cTNI24 (NK GZMK+),TNKILC,Tcd8-CXCL13-LAG3,7,NK-CD16,1138,0.6
cTNI24 (NK GZMK+),TNKILC,Tcd8-CXCL13,3,NK-CD16,1138,0.3
cTNI25 (NK XCL1+),TNKILC,Tcd8-GZMK,6,NK-XCL1,589,1
cTNI25 (NK XCL1+),TNKILC,Tcd8-CXCL13-LAG3,1,NK-XCL1,589,0.2
cTNI26 (ILC3),TNKILC,Tcd8-GZMK,1,ILC3,706,0.1
