class,n_called,tp,n_true,precision,recall,f1,n_sources
Myeloid-ISGlow,2819,2819,12801,1,0.220217170533552,0.360947503201024,1
Tcd4-IL7R,8686,7481,9899,0.861271010822012,0.755732902313365,0.805057842345978,4
Tcd8-HOBIT,5374,2964,8902,0.551544473390398,0.332958885643676,0.41524236480807,3
Myeloid-inflamm,2429,2429,8755,1,0.277441462021702,0.434370529327611,1
Tcd4-Treg,6870,6044,7898,0.879767103347889,0.765257027095467,0.818526543878657,1
Tcd8-gdlike,2799,1192,4680,0.425866380850304,0.254700854700855,0.318759192405402,1
Tplzf-gdlike,3829,2111,3886,0.551318882214678,0.543232115285641,0.547245625405055,1
Tcd8-CXCL13,3291,1041,3868,0.316317228805834,0.269131334022751,0.29082274060623,1
Tcd8-GZMK,5051,2631,3826,0.520886953078598,0.687663355985363,0.59276782696857,1
Bgc-GPR183,2046,2046,3664,1,0.558406113537118,0.716637478108582,1
Bgc-CD40,1825,1825,3441,1,0.530369078756176,0.693125712115458,1
Tcd8-CXCL13-LAG3,2357,618,3105,0.262197708952058,0.199033816425121,0.226290735994141,1
NK-CD16,5089,2258,3024,0.44370210257418,0.746693121693122,0.556637495377789,3
Tcd8-CXCL13-prolif,1972,1400,2619,0.709939148073022,0.534555173730432,0.60988891309083,2
B,2380,2380,2380,1,1,1,1
Tcd4-CXCL13,5552,1288,1690,0.231988472622478,0.762130177514793,0.355702844518089,1
Myeloid-Granulo,1661,1661,1661,1,1,1,1
Tcd4-Treg-prolif,1573,781,1500,0.496503496503497,0.520666666666667,0.508298080052066,1
Myeloid-DCmreg,1136,1136,1136,1,1,1,1
Endo-ven,1082,1082,1082,1,1,1,2
Tcd4-TFH,1969,310,891,0.15744032503809,0.347923681257015,0.216783216783217,1
Endo-cap,873,873,873,1,1,1,4
Pericyte,826,826,826,1,1,1,5
Myeloid-DC-pDC_ASDC,757,757,757,1,1,1,2
ILC3,1814,622,706,0.342888643880926,0.881019830028329,0.493650793650794,1
Tplzf-gdlike-prolif,806,416,666,0.516129032258065,0.624624624624625,0.565217391304348,1
Fibro-StemNiche,630,630,630,1,1,1,3
NK-XCL1,717,311,589,0.433751743375174,0.528013582342954,0.476263399693721,1
Myeloid-DC2,565,565,565,1,1,1,1
Fibro-CCL2,535,535,535,1,1,1,2
Myeloid-DC2-C1Q,502,502,502,1,1,1,1
Endo-art,433,433,433,1,1,1,2
Fibro-BMP,420,420,420,1,1,1,2
SmoothMuscle,377,377,377,1,1,1,1
Endo-tip,208,208,208,1,1,1,1
Endo,203,203,203,1,1,1,3
Myeloid-DC1,179,179,179,1,1,1,1
Fibro-GREM1,174,174,174,1,1,1,1
Fibro-MMP3,152,152,152,1,1,1,1
Endo-lymph,151,151,151,1,1,1,1
Schwann,133,133,133,1,1,1,1
Fibro-myo,119,119,119,1,1,1,1
Endo-prolif,80,80,80,1,1,1,1
Fibro-CXCL14,71,71,71,1,1,1,1
cM06 (DC IL22RA2),4,4,4,1,1,1,1
Bgc,1618,0,0,0,,,0
Bgc-CD40-prolif,1616,0,0,0,,,0
Myeloid-ISGhigh,1016,0,0,0,,,0
Myeloid-Macro,2303,0,0,0,,,0
Myeloid-Macro-C1Q,2255,0,0,0,,,0
Myeloid-Macro-MMP9-APOE,2494,0,0,0,,,0
Myeloid-Macro-SEPP1-LYVE1,2603,0,0,0,,,0
Myeloid-Macro-prolif,327,0,0,0,,,0
Myeloid-Mono-CSF1R,1283,0,0,0,,,0
Myeloid-Mono-S100-VCAN,1852,0,0,0,,,0
Myeloid-Mono-VEGFA,2175,0,0,0,,,0
