class,n_called,tp,n_true,precision,recall,f1,n_sources
Tcd8-HOBIT,781,469,1594,0.600512163892446,0.294228356336261,0.394947368421053,3
Myeloid-ISGlow,361,361,1047,1,0.344794651384909,0.512784090909091,1
Tcd8-gdlike,401,272,1037,0.678304239401496,0.262295081967213,0.378303198887344,2
Tcd4-IL7R,921,764,1009,0.829533116178067,0.757185332011893,0.791709844559586,4
Tcd4-Treg,819,713,930,0.870573870573871,0.766666666666667,0.815323041738136,2
Myeloid-inflamm,224,224,785,1,0.285350318471338,0.44400396432111,1
Tcd8-CXCL13,560,186,657,0.332142857142857,0.28310502283105,0.305669679539852,1
Tcd8-CXCL13-prolif,337,263,476,0.780415430267062,0.552521008403361,0.646986469864699,2
Tcd4-CXCL13,946,299,413,0.316067653276956,0.723970944309927,0.440029433406917,1
Tcd8-GZMK,673,282,404,0.419019316493314,0.698019801980198,0.523676880222841,1
Tplzf-gdlike,428,276,398,0.644859813084112,0.693467336683417,0.668280871670702,1
B,387,387,387,1,1,1,1
Bgc-CD40,180,180,321,1,0.560747663551402,0.718562874251497,1
NK-CD16,587,231,305,0.393526405451448,0.757377049180328,0.517937219730942,3
Bgc,161,161,301,1,0.534883720930233,0.696969696969697,1
Tcd4-Treg-prolif,231,110,185,0.476190476190476,0.594594594594595,0.528846153846154,1
Myeloid-DC-pDC_ASDC,177,177,177,1,1,1,2
Tplzf-gdlike-prolif,124,68,110,0.548387096774194,0.618181818181818,0.581196581196581,1
Myeloid-DCmreg,100,100,100,1,1,1,1
NK-XCL1,70,38,75,0.542857142857143,0.506666666666667,0.524137931034483,1
Myeloid-DC2-C1Q,56,56,56,1,1,1,1
Myeloid-Granulo,54,54,54,1,1,1,1
Myeloid-DC2,37,37,37,1,1,1,1
ILC3,138,27,30,0.195652173913043,0.9,0.321428571428571,1
SmoothMuscle,27,27,27,1,1,1,1
Myeloid-DC1,18,18,18,1,1,1,1
Fibro-StemNiche,17,17,17,1,1,1,2
Endo-ven,16,16,16,1,1,1,1
Endo-art,13,13,13,1,1,1,1
Endo-lymph,8,8,8,1,1,1,1
Endo-cap,6,6,6,1,1,1,1
Fibro-CCL2,2,2,2,1,1,1,1
Fibro-BMP,1,1,1,1,1,1,1
Bgc-CD40-prolif,141,0,0,0,,,0
Bgc-GPR183,140,0,0,0,,,0
Myeloid-ISGhigh,154,0,0,0,,,0
Myeloid-Macro,184,0,0,0,,,0
Myeloid-Macro-C1Q,177,0,0,0,,,0
Myeloid-Macro-MMP9-APOE,177,0,0,0,,,0
Myeloid-Macro-SEPP1-LYVE1,126,0,0,0,,,0
Myeloid-Macro-prolif,22,0,0,0,,,0
Myeloid-Mono-CSF1R,116,0,0,0,,,0
Myeloid-Mono-S100-VCAN,146,0,0,0,,,0
Myeloid-Mono-VEGFA,145,0,0,0,,,0
Tcd4-TFH,201,0,0,0,,,0
Tcd8-CXCL13-LAG3,406,0,0,0,,,0
