renamed,type_lvl2,N,total,frac
Fibro-CXCL14,Fibro-CXCL14,7884,7884,1
Fibro-StemNiche,Fibro-StemNiche,208310,208310,1
Myeloid-Macro-SEPP1-LYVE1,Myeloid-Macro-SEPP1-LYVE1,104667,104667,1
Pericyte,Pericyte,167322,167322,1
Myeloid-Macro-MMP9-APOE,Myeloid-Macro-MMP9-APOE,69510,69510,1
Fibro-GREM1,Fibro-GREM1,199695,199695,1
Fibro-BMP,Fibro-BMP,117786,117786,1
Schwann,Schwann,13938,13938,1
Endo-lymph,Endo-lymph,8875,8875,1
Fibro-MMP3,Fibro-MMP3,29326,29326,1
Myeloid-Macro,Myeloid-Macro,47372,47372,1
Fibro-CCL2,Fibro-CCL2,119662,119662,1
Tcd4-CXCL13,Tcd4-CXCL13,11493,11493,1
Myeloid-ISGlow,Myeloid-ISGlow,61905,61905,1
Endo-ven,Endo-ven,58069,58069,1
Myeloid-DC2,Myeloid-DC2,8479,8479,1
Endo-cap,Endo-cap,32321,32321,1
Tcd4-Treg,Tcd4-Treg,30554,30554,1
Bgc-CD40-prolif,Bgc-CD40-prolif,6335,6335,1
Myeloid-DC-pDC_ASDC,Myeloid-DC-pDC_ASDC,9693,9693,1
Myeloid-ISGhigh,Myeloid-ISGhigh,6087,6087,1
Tcd4-TFH,Tcd4-TFH,3531,3531,1
Endo,Endo,23528,23528,1
Myeloid-inflamm,Myeloid-inflamm,7239,7239,1
Myeloid-Mono-S100-VCAN,Myeloid-Mono-S100-VCAN,4410,4410,1
Endo-art,Endo-art,19738,19738,1
SmoothMuscle,SmoothMuscle,155612,155612,1
Tcd4-IL7R,Tcd4-IL7R,16289,16289,1
Myeloid-Mono-VEGFA,Myeloid-Mono-VEGFA,8215,8215,1
Myeloid-Macro-C1Q,Myeloid-Macro-C1Q,13778,13778,1
Mast,Mast,4173,4173,1
Tcd8-HOBIT,Tcd8-HOBIT,9334,9334,1
Endo-prolif,Endo-prolif,27519,27519,1
NK-CD16,NK-CD16,5708,5708,1
Tcd8-GZMK,Tcd8-GZMK,10218,10218,1
Endo-tip,Endo-tip,10503,10503,1
Tplzf-gdlike,Tplzf-gdlike,8837,8837,1
Myeloid-Granulo,Myeloid-Granulo,5198,5198,1
Tcd8-gdlike-PD1,Tcd8-gdlike-PD1,4667,4667,1
Myeloid-Mono-CSF1R,Myeloid-Mono-CSF1R,4722,4722,1
Fibro-myo,Fibro-myo,11715,11715,1
Myeloid-Macro-prolif,Myeloid-Macro-prolif,5409,5409,1
Tcd8-CXCL13,Tcd8-CXCL13,5751,5751,1
Myeloid-DCmreg,Myeloid-DCmreg,13369,13369,1
Bgc,Bgc,6349,6349,1
Bgc-GPR183,Bgc-GPR183,15356,15356,1
B,B,8078,8078,1
Tcd8-gdlike,Tcd8-gdlike,1532,1532,1
Tcd8-CXCL13-prolif,Tcd8-CXCL13-prolif,8825,8825,1
ILC3,ILC3,2501,2501,1
Bgc-CD40,Bgc-CD40,4336,4336,1
Tcd4-Treg-prolif,Tcd4-Treg-prolif,1746,1746,1
NK-XCL1,NK-XCL1,904,904,1
Myeloid-DC2-C1Q,Myeloid-DC2-C1Q,4621,4621,1
Tplzf-gdlike-prolif,Tplzf-gdlike-prolif,1325,1325,1
Myeloid-DC1,Myeloid-DC1,154,154,1
