old_label,dest,strength,dest_i,weak
cTNI02 (CD4+ IL7R+SELL+),Tcd4-IL7R,83.1730769230769,1,FALSE
cTNI04 (CD4+ IL7R+CCL5+),Tcd4-IL7R,77.696026907715,1,FALSE
cTNI03 (CD4+ IL7R+HSP+),Tcd4-IL7R,69.8887343532684,1,FALSE
cTNI01 (CD4+ IL7R+),Tcd4-IL7R,53.1,1,FALSE
cTNI08 (CD4+ Treg),Tcd4-Treg,76.5257027095467,2,FALSE
cTNI09 (CD4+ Treg prolif),Tcd4-Treg-prolif,52.0666666666667,3,FALSE
cTNI06 (CD4+ TFH),Tcd4-TFH,34.7923681257015,4,FALSE
cTNI07 (CD4+ CXCL13+),Tcd4-CXCL13,76.2130177514793,5,FALSE
cTNI11 (CD8+GZMK+),Tcd8-GZMK,68.7663355985363,6,FALSE
cTNI10 (CD8+ IL7R+),Tcd8-HOBIT,60.5935696619951,7,FALSE
cTNI16 (CD8+ CXCL13+ prolif),Tcd8-CXCL13-prolif,57.3522878720569,9,FALSE
cTNI20 (PLZF+ T),Tplzf-gdlike,54.3232115285641,12,FALSE
cTNI21 (PLZF+ T prolif),Tplzf-gdlike-prolif,62.4624624624625,13,FALSE
cTNI23 (NK CD16A+),NK-CD16,94.3781942078365,14,FALSE
cTNI24 (NK GZMK+),NK-CD16,64.4991212653779,14,FALSE
cTNI22 (cTNI22),NK-CD16,58.4269662921348,14,FALSE
cTNI25 (NK XCL1+),NK-XCL1,52.8013582342954,15,FALSE
cTNI26 (ILC3),ILC3,88.1019830028329,16,FALSE
cTNI19 (gd-like T prolif),Tcd8-CXCL13-prolif,29.6195652173913,Inf,TRUE
cTNI15 (CD8+ CXCL13+ HSP+),Tcd8-CXCL13,26.9131334022751,Inf,TRUE
cTNI17 (gd-like T),Tcd8-gdlike,25.4700854700855,Inf,TRUE
cTNI14 (CD8+ CXCL13+),Tcd8-HOBIT,23.0912476722533,Inf,TRUE
cTNI12 (CD8+ IL7R+),Tcd8-HOBIT,22.8471001757469,Inf,TRUE
cTNI18 (gd-like T PDCD1+),Tcd8-CXCL13-LAG3,19.9033816425121,Inf,TRUE
