MMRstatus,population,xbin,ybin,x_mid,y_mid,n_pat,n_pat_arm,passes
MMRd,Myeloid-ISG,"(-10,-5]","(1.46,2.19]",-7.5,1.82352438217472,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-10,-5]","(1.46,2.19]",-7.5,1.82352438217472,8,8,TRUE
MMRd,Tcd4-CXCL13,"(-10,-5]","(1.46,2.19]",-7.5,1.82352438217472,8,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-10,-5]","(1.46,2.19]",-7.5,1.82352438217472,8,8,TRUE
MMRd,CD8-all,"(-10,-5]","(1.46,2.19]",-7.5,1.82352438217472,8,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-10,-5]","(1.46,2.19]",-7.5,1.82352438217472,8,8,TRUE
MMRd,Myeloid-mregDC,"(-10,-5]","(2.19,2.92]",-7.5,2.55293413504461,8,8,TRUE
MMRd,Myeloid-ISG,"(-10,-5]","(2.19,2.92]",-7.5,2.55293413504461,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-10,-5]","(2.19,2.92]",-7.5,2.55293413504461,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-10,-5]","(2.19,2.92]",-7.5,2.55293413504461,8,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-10,-5]","(2.19,2.92]",-7.5,2.55293413504461,8,8,TRUE
MMRd,CD8-all,"(-10,-5]","(2.19,2.92]",-7.5,2.55293413504461,8,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-10,-5]","(2.19,2.92]",-7.5,2.55293413504461,8,8,TRUE
MMRd,Myeloid-mregDC,"(-10,-5]","(2.92,3.65]",-7.5,3.2823438879145,8,8,TRUE
MMRd,Myeloid-ISG,"(-10,-5]","(2.92,3.65]",-7.5,3.2823438879145,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-10,-5]","(2.92,3.65]",-7.5,3.2823438879145,8,8,TRUE
MMRd,Tcd4-CXCL13,"(-10,-5]","(2.92,3.65]",-7.5,3.2823438879145,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-10,-5]","(2.92,3.65]",-7.5,3.2823438879145,8,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-10,-5]","(2.92,3.65]",-7.5,3.2823438879145,8,8,TRUE
MMRd,CD8-all,"(-10,-5]","(2.92,3.65]",-7.5,3.2823438879145,8,8,TRUE
MMRd,Tcd8-HOBIT,"(-10,-5]","(2.92,3.65]",-7.5,3.2823438879145,8,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-10,-5]","(2.92,3.65]",-7.5,3.2823438879145,8,8,TRUE
MMRd,Myeloid-mregDC,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,8,8,TRUE
MMRd,Myeloid-ISG,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,8,8,TRUE
MMRd,Tcd4-CXCL13,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,8,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,8,8,TRUE
MMRd,CD8-all,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,8,8,TRUE
MMRd,Tcd8-CXCL13-LAG3,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,8,8,TRUE
MMRd,Tcd8-GZMK,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,7,8,TRUE
MMRd,Tcd8-HOBIT,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,8,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,8,8,TRUE
MMRd,Myeloid-mregDC,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,8,8,TRUE
MMRd,Myeloid-ISG,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,8,8,TRUE
MMRd,Tcd4-CXCL13,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,7,8,TRUE
MMRd,Tcd4-Treg-comb,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,8,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,7,8,TRUE
MMRd,CD8-all,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,8,8,TRUE
MMRd,Tcd8-CXCL13-LAG3,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,6,8,TRUE
MMRd,Tcd8-HOBIT,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,5,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,8,8,TRUE
MMRd,Myeloid-mregDC,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,6,8,TRUE
MMRd,Myeloid-ISG,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,7,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,7,8,TRUE
