KNN_celltype_v2,knn_renamed_cell_states,cell_state
B,B,B
Bgc,Bgc,Bgc
Bgc-CD40,Bgc-CD40,Bgc-CD40
Bgc-CD40-prolif,Bgc-CD40-prolif,Bgc-CD40-prolif
Bgc-GPR183,Bgc-GPR183,Bgc-GPR183
Endo,Endo,Endo
Endo-art,Endo-art,Endo-art
Endo-cap,Endo-cap,Endo-cap
Endo-lymph,Endo-lymph,Endo-lymph
Endo-prolif,Endo-prolif,Endo-prolif
Endo-tip,Endo-tip,Endo-tip
Endo-ven,Endo-ven,Endo-ven
Epi-BEST4,Epi,Epi
Epi-Entero1_Goblet,Epi,Epi
Epi-Entero2,Epi,Epi
Epi-IL3RA,Epi,Epi
Epi-Stem_TAlike,Epi,Epi
Epi-Stem_TAlike-prolif,Epi,Epi
Epi-Stem_TAlike_ImGoblet,Epi,Epi
Epi-Tuft,Epi,Epi
Fibro-BMP,Fibro-BMP,Fibro-BMP
Fibro-CCL2,Fibro-CCL2,Fibro-CCL2
Fibro-CXCL14,Fibro-GREM1-low,Fibro-GREM1-low
Fibro-GREM1,Fibro-GREM1,Fibro-GREM1
Fibro-MMP3,Fibro-MMP3,Fibro-MMP3
Fibro-myo,Fibro-myo,Fibro-myo
Fibro-stemNiche,Fibro-stemNiche,Fibro-stemNiche
ILC3,ILC3,ILC3
Mast,Mast,Mast
Myeloid-DC-pDC_ASDC,Myeloid-DC-pDC_ASDC,Myeloid-DC-pDC_ASDC
Myeloid-DC1,Myeloid-DC1,Myeloid-DC1
Myeloid-DC2,Myeloid-DC2,Myeloid-DC2
Myeloid-DC2-C1Q,Myeloid-DC2-C1Q,Myeloid-DC2-C1Q
Myeloid-DCmreg,Myeloid-DCmreg,Myeloid-DCmreg
Myeloid-Granulo,Myeloid-Granulo,Myeloid-Granulo
Myeloid-ISGhigh,Myeloid-ISGhigh,Myeloid-ISGhigh
Myeloid-ISGlow,Myeloid-ISGlow,Myeloid-ISGlow
Myeloid-Macro,Myeloid-Macro,Myeloid-Macro
Myeloid-Macro-C1Q,Myeloid-Macro-C1Q,Myeloid-Macro-C1Q
Myeloid-Macro-MMP9-APOE,Myeloid-Macro-MMP9-APOE,Myeloid-Macro-MMP9-APOE
Myeloid-Macro-SEPP1-LYVE1,Myeloid-Macro-SEPP1-LYVE1,Myeloid-Macro-SEPP1-LYVE1
Myeloid-Macro-prolif,Myeloid-Macro-prolif,Myeloid-Macro-prolif
Myeloid-Mono-CSF1R,Myeloid-Mono-CSF1R,Myeloid-Mono-CSF1R
Myeloid-Mono-S100-VCAN,Myeloid-Mono-S100-VCAN,Myeloid-Mono-S100-VCAN
Myeloid-Mono-VEGFA,Myeloid-Mono-VEGFA,Myeloid-Mono-VEGFA
Myeloid-inflamm,Myeloid-inflamm,Myeloid-inflamm
NK-CD16,NK-CD16,NK-CD16
NK-XCL1,NK-XCL1,NK-XCL1
Pericyte,Pericyte,Pericyte
Plasma,Plasma,Plasma
Schwann,Schwann,Schwann
SmoothMuscle,SmoothMuscle,SmoothMuscle
Tcd4-CXCL13,Tcd4-CXCL13,Tcd4-CXCL13
Tcd4-IL7R,Tcd4-IL7R,Tcd4-IL7R
Tcd4-TFH,Tcd4-TFH,Tcd4-TFH
Tcd4-Treg,Tcd4-Treg,Tcd4-Treg
Tcd4-Treg-prolif,Tcd4-Treg-prolif,Tcd4-Treg-prolif
Tcd8-CXCL13,Tcd8-CXCL13,Tcd8-CXCL13
Tcd8-CXCL13-prolif,Tcd8-CXCL13-prolif,Tcd8-CXCL13-prolif
Tcd8-GZMK,Tcd8-GZMK,Tcd8-GZMK
Tcd8-HOBIT,Tcd8-HOBIT,Tcd8-HOBIT
Tcd8-gdlike,Tcd8-gdlike,Tcd8-gdlike
Tcd8-gdlike-PD1,Tcd8-gdlike-PD1,Tcd8-CXCL13-LAG3
Tplzf-gdlike,Tplzf-gdlike,Tplzf-gdlike
Tplzf-gdlike-prolif,Tplzf-gdlike-prolif,Tplzf-gdlike-prolif
