SampleID,MMRstatus,med_neg,med_pos,p05_pos
G4671,MMRd,1.97616779134565,2.97362548217404,1.8735176429865
G4423,MMRd,2.01629094581711,3.03459090825976,1.97378917338519
G4554,MMRd,0.906650316091981,3.1850202560425,1.74408337356839
C123,MMRd,1.86057141073442,3.24181431948292,1.86850467057633
C164,MMRd,1.95531163282757,3.27589463266109,2.19436156084903
G4595,MMRd,2.00898929169822,3.52539043561527,1.63587332633801
Jax001,MMRd,2.61610362457635,3.83010991338803,2.54415770298822
C110,MMRd,2.12196671391844,4.11051625514345,2.36489949840656
G4669_reg1,MMRp,0,2.59703789648055,0
G4738_Beta10_08,MMRp,1.01734745596486,2.76289891753748,1.57094520681735
G4669_reg0,MMRp,0,2.77380835961329,1.73928198648226
G4659-CP-MET_VMSC04701,MMRp,0,3.17011485735283,1.62347775176965
G4630,MMRp,0,3.23671093947267,1.80629616928447
G4738_Beta10_06,MMRp,0,3.32059557463227,0
G4659-CP-MET_Beta8,MMRp,1.1679300224606,3.39373555861804,1.96395366424925
G4712_Beta10,MMRp,0,3.39805992804687,0
C107,MMRp,2.18487601909947,3.43495544623391,1.54840855959762
G4712_Beta8,MMRp,0,3.54652993504194,0
