MMRstatus,population,gene,xbin,ybin,x_mid,y_mid,n_pat,val,lo,hi,n_pat_arm
MMRd,Myeloid-mregDC,ITGAE,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,4,0.00368714857129333,0.00296822523991979,0.00426990990619098,8
MMRd,Myeloid-mregDC,ITGAE,"(-5,0]","(3.65,4.38]",-2.5,4.01175364078438,6,0.0056273019341674,0.00464007235305987,0.00638922896096354,8
MMRd,Myeloid-mregDC,ITGAE,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,5,0.00772797527047914,0.00285937093839355,0.00878293601003764,8
MMRd,Myeloid-mregDC,ITGAE,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,7,0.00482800241400121,0.00270934320969723,0.00665923167252588,8
MMRd,Myeloid-mregDC,ITGAE,"(-5,0]","(2.92,3.65]",-2.5,3.2823438879145,7,0.00533902829684997,0.00470112354087081,0.00788893213253078,8
MMRd,Myeloid-mregDC,ITGAE,"(-10,-5]","(2.19,2.92]",-7.5,2.55293413504461,6,0.00475571505269999,0.00206531777348669,0.00632362366137034,8
MMRd,Myeloid-mregDC,ITGAE,"(-5,0]","(1.46,2.19]",-2.5,1.82352438217472,4,0.00406387508339518,0.00117924528301887,0.00887033863161161,8
MMRd,Myeloid-mregDC,ITGAE,"(-5,0]","(2.19,2.92]",-2.5,2.55293413504461,5,0.00520156046814044,0.004739336492891,0.00540540540540541,8
MMRd,Myeloid-mregDC,ITGAE,"(-10,-5]","(2.92,3.65]",-7.5,3.2823438879145,7,0.00514359194170596,0.00438467758842733,0.00763826031468592,8
MMRd,Myeloid-mregDC,ITGAE,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,4,0.00650280644577223,0.00436672133999354,0.00843908135461269,8
MMRd,Myeloid-mregDC,ITGAE,"(-5,0]","[0,0.729]",-2.5,0.364704876434944,4,0.0038534816192083,0.00223462798613099,0.0073449913437391,8
MMRd,Myeloid-mregDC,ITGAE,"(-15,-10]","(2.19,2.92]",-12.5,2.55293413504461,4,0.00221493140634301,0.00145098545687941,0.00372540773787757,8
MMRd,Myeloid-ISG,ITGAE,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,5,0.00167879127028539,0.0015462323471807,0.00179372197309417,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-10,-5]","(5.11,5.84]",-7.5,5.47057314652416,7,0.0017180162638873,0.00159755922315002,0.00306107639998993,8
